22,24,21,20,19,20,17,16,16,21,20,0,20,19,19,19,18,19,20,20,21,21,22,23,22,23,22,21,21,22,22,24,22,23,22,23,21,22,22,23
25,26,25,27,24,24,23,23,22,20,19,0,20,19,21,21,19,16,16,16,17,15,14,12,15,15,16,15,15,17,17,16,16,15,17,18,17,15,16,16
25,28,29,27,27,26,26,27,27,28,30,30,29,28,26,28,29,28,28,28,28,28,29,27,30,31,34,31,31,32,29,31,31,30,30,32,30,31,31,30
25,28,29,28,28,28,31,32,34,36,33,34,38,39,41,41,43,40,38,36,36,37,39,40,40,42,44,45,46,47,46,45,44,43,44,46,46,47,47,46
24,21,21,20,20,20,21,21,21,18,15,16,19,21,21,23,20,18,20,20,17,17,19,21,24,25,26,25,25,26,25,24,24,26,27,26,27,27,26,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Time,Mean,Std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25,25,25,24,1,20.33333333,1.303840481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26,28,28,21,2,21.5,2.966479395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25,29,29,21,3,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,27,27,28,20,4,24.4,4.037325848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,24,27,28,20,5,23.6,4.037325848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,24,26,28,20,6,23.6,3.577708764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23,26,31,21,7,23.6,5.272570531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23,27,32,21,8,23.8,6.058052492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,27,34,21,9,24,6.819090848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,28,36,18,10,24.6,7.402702209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,30,33,15,11,23.4,7.700649323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,30,34,16,12,16,16.0623784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,29,38,19,13,25.2,8.228000972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,28,39,21,14,25.2,8.555699854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21,26,41,21,15,25.6,8.988882022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21,28,41,23,16,26.4,8.820430828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,29,43,20,17,25.8,10.56882207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16,28,40,18,18,24.2,9.959919678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,28,38,20,19,24.4,8.76356092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,28,36,20,20,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,28,36,17,21,23.8,8.167006796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15,28,37,17,22,23.6,8.988882022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14,29,39,19,23,24.6,9.710818709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12,27,40,21,24,24.6,10.21273715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,30,40,24,25,26.2,9.391485505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15,31,42,25,26,27.2,10.05982107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,34,44,26,27,28.4,10.89954127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15,31,45,25,28,27.4,11.43678276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15,31,46,25,29,27.6,11.823705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17,32,47,26,30,28.8,11.56287162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17,29,46,25,31,27.8,11.0770032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,31,45,24,32,28,10.88577053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,31,44,24,33,27.4,10.71447619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15,30,43,26,34,27.4,10.31018914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17,30,44,27,35,28,10.22252415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18,32,46,26,36,29,10.77032961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,30,46,27,37,28.2,11.16691542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,31,47,27,38,28.4,11.99166377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,31,47,26,39,28.4,11.76010204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,16,30,46,25,40,28,11.24722188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
